#Parameters = {D_center=12; L1=9; L2=2; L3=2; L4=18; L_diff=2.83; L_sub=19.66; W_50=1.36; W_sub=19.66; Z_mid=9.83; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=2; h3=2; h4=2; h_sub=11; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=7; r_SRR_in=4.6; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=1; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (62) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.38151929450508
1.0040000000000	-0.38525793482511
1.0080000000000	-0.38903256426846
1.0120000000000	-0.39284357069826
1.0160000000000	-0.39669134696243
1.0200000000000	-0.40057629096698
1.0240000000000	-0.40449880575049
1.0280000000000	-0.40845929955979
1.0320000000000	-0.41245818592695
1.0360000000000	-0.41649588374748
1.0400000000000	-0.42057281735981
1.0440000000000	-0.42468941662614
1.0480000000000	-0.42884611701457
1.0520000000000	-0.43304335968261
1.0560000000000	-0.43728159156204
1.0600000000000	-0.44156126544527
1.0640000000000	-0.44588284007300
1.0680000000000	-0.45024678022344
1.0720000000000	-0.45465355680302
1.0760000000000	-0.45910364693847
1.0800000000000	-0.46359753407067
1.0840000000000	-0.46813570804985
1.0880000000000	-0.47271866523251
1.0920000000000	-0.47734690857995
1.0960000000000	-0.48202094775837
1.1000000000000	-0.48674129924081
1.1040000000000	-0.49150848641066
1.1080000000000	-0.49632303966696
1.1120000000000	-0.50118549653155
1.1160000000000	-0.50609640175789
1.1200000000000	-0.51105630744186
1.1240000000000	-0.51606577313439
1.1280000000000	-0.52112536595596
1.1320000000000	-0.52623566071308
1.1360000000000	-0.53139724001679
1.1400000000000	-0.53661069440313
1.1440000000000	-0.54187662245565
1.1480000000000	-0.54719563093010
1.1520000000000	-0.55256833488118
1.1560000000000	-0.55799535779146
1.1600000000000	-0.56347733170256
1.1640000000000	-0.56901489734861
1.1680000000000	-0.57460870429183
1.1720000000000	-0.58025941106074
1.1760000000000	-0.58596768529045
1.1800000000000	-0.59173420386562
1.1840000000000	-0.59755965306574
1.1880000000000	-0.60344472871298
1.1920000000000	-0.60939013632263
1.1960000000000	-0.61539659125613
1.2000000000000	-0.62146481887675
1.2040000000000	-0.62759555470797
1.2080000000000	-0.63378954459471
1.2120000000000	-0.64004754486728
1.2160000000000	-0.64637032250822
1.2200000000000	-0.65275865532215
1.2240000000000	-0.65921333210842
1.2280000000000	-0.66573515283702
1.2320000000000	-0.67232492882736
1.2360000000000	-0.67898348293038
1.2400000000000	-0.68571164971377
1.2440000000000	-0.69251027565048
1.2480000000000	-0.69938021931059
1.2520000000000	-0.70632235155654
1.2560000000000	-0.71333755574189
1.2600000000000	-0.72042672791350
1.2640000000000	-0.72759077701743
1.2680000000000	-0.73483062510837
1.2720000000000	-0.74214720756298
1.2760000000000	-0.74954147329685
1.2800000000000	-0.75701438498545
1.2840000000000	-0.76456691928907
1.2880000000000	-0.77220006708163
1.2920000000000	-0.77991483368381
1.2960000000000	-0.78771223910021
1.3000000000000	-0.79559331826081
1.3040000000000	-0.80355912126691
1.3080000000000	-0.81161071364126
1.3120000000000	-0.81974917658299
1.3160000000000	-0.82797560722694
1.3200000000000	-0.83629111890783
1.3240000000000	-0.84469684142913
1.3280000000000	-0.85319392133686
1.3320000000000	-0.86178352219842
1.3360000000000	-0.87046682488637
1.3400000000000	-0.87924502786760
1.3440000000000	-0.88811934749751
1.3480000000000	-0.89709101831984
1.3520000000000	-0.90616129337189
1.3560000000000	-0.91533144449525
1.3600000000000	-0.92460276265245
1.3640000000000	-0.93397655824923
1.3680000000000	-0.94345416146293
1.3720000000000	-0.95303692257681
